round,classifier,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1_score,process_time
1,Nearest_Neighbors,99.69924812030075,99.71675845790718,99.71675845790718,99.71675845790718,99.96629104994717,99.71544715447153,2205
1,SVM_Linear,99.69924812030075,99.71675845790718,99.71675845790718,99.71675845790718,99.96629104994717,99.71544715447153,116041
2,Nearest_Neighbors,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,2322
2,SVM_Linear,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,115676
3,Nearest_Neighbors,100.0,100.0,100.0,100.0,100.0,100.0,2189
3,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,115649
4,Nearest_Neighbors,99.84962406015038,99.87341772151899,99.81818181818183,99.87341772151899,99.9836333878887,99.84456261321803,2288
4,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,115511
5,Nearest_Neighbors,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,2284
5,SVM_Linear,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,115705
6,Nearest_Neighbors,99.69924812030075,99.71675845790718,99.71675845790718,99.71675845790718,99.96629104994717,99.71544715447153,2449
6,SVM_Linear,99.69924812030075,99.71675845790718,99.71675845790718,99.71675845790718,99.96629104994717,99.71544715447153,115125
7,Nearest_Neighbors,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,2210
7,SVM_Linear,99.84962406015038,99.83870967741936,99.87951807228916,99.83870967741936,99.9828473413379,99.85809312638581,115378
8,Nearest_Neighbors,100.0,100.0,100.0,100.0,100.0,100.0,2113
8,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,116433
9,Nearest_Neighbors,100.0,100.0,100.0,100.0,100.0,100.0,2222
9,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,115964
10,Nearest_Neighbors,100.0,100.0,100.0,100.0,100.0,100.0,2194
10,SVM_Linear,100.0,100.0,100.0,100.0,100.0,100.0,115252
